ordering,reachability,predecessor_,core_distances
377,0.684656862983183,707,0.945865006486553
1148,1.109551976060522,2609,1.117463260179132
6396,1.699869287805409,4971,2.533334154461066
2956,0.419661904672755,6519,0.730736210602752
1801,1.200975928236692,5223,1.4279229681995
2209,0.755027090391997,1596,1.116424124585844
234,1.003265192940772,2273,1.587242292652738
3057,0.209067072534842,6013,0.416627715937332
4136,1.102638842788542,2797,1.583338834701622
6129,0.883625784489791,2856,1.265840496595942
1048,0.275320815916884,3714,0.540969875878337
1263,0.933033955988071,721,1.339943061801798
1802,1.413357513982433,2392,1.945962103484799
2491,0.339503098479835,2963,0.48329493456652
3565,1.278303217802889,6731,1.673536956813812
4298,1.406840461612706,6549,1.866901956731944
6020,1.023471909934,3372,1.550917960965753
4703,1.393707273884502,1987,2.137874185460163
721,2.872571566385396,531,4.593631682570292
2602,0.885576147288085,5508,1.259561100971943
1415,1.50244773530607,1260,2.208803205811642
2805,2.363227121578658,4551,3.709338746374824
5556,4.933913713892375,4568,8.513485919278924
5631,0.681989335777603,391,0.920038691871616
6027,0.09639313271318,3357,0.188216056481169
7040,0.722760679234463,1034,0.977822741046505
7052,1.321630564886796,773,1.906403719218065
2004,0.72881127497461,587,0.950844556601441
6963,1.11078880944151,1570,1.235033286142454
5335,1.194806395070544,723,1.225558270851254
452,0.689300013130853,3592,1.121054857572645
1764,0.830235241089571,6260,1.235946460451294
5517,0.329092734176413,6740,0.515686961847359
2058,0.565370833200748,7104,0.823903089541073
1916,0.0,13,0.0
4340,0.436417049185401,794,0.809595373317876
7008,0.709095799128026,5166,0.862323701721555
3422,0.0,13,0.0
510,0.112057958827712,4141,0.218617578626211
520,0.545852110946012,4467,0.867290544415873
2024,1.01689504340391,2052,1.384835015856272
190,1.238108155026261,1754,1.609161256072804
5253,1.871366287179172,6603,2.434519332725767
3063,0.762958787654637,266,1.320017533335609
566,0.511582131427996,4701,0.998643002353383
574,0.474541125700915,2963,0.704318690996637
581,2.986752807295158,790,4.664596005143459
2594,1.862529253138895,4780,2.931526842362414
5525,0.0,13,0.0
5884,0.989362870378613,182,1.555770433324554
6181,0.694062015573198,2225,0.993149159710661
7010,0.979314819782709,5365,1.570360054960691
7251,0.038245024783902,3023,0.076461590080346
