x,y
28.67308,-18.323177
-19.297,-18.61876
-3.1193662,26.038141
2.8805892,4.9380536
22.80684,8.195276
-27.439123,13.410346
21.435602,-16.24586
18.737814,16.899023
-38.670853,-11.262869
-18.05537,-12.624808
26.328,-14.651416
-9.178205,-24.87248
26.104599,-19.742138
-38.685974,-10.375825
8.668049,15.144145
-1.0937854,3.2953463
-36.73526,-16.054665
18.443983,2.4166548
28.103657,-1.8265551
8.675287,4.549501
-16.765806,-8.1585655
-20.532587,-12.391567
-9.257014,-24.413225
-44.124294,11.142051
22.195427,7.9352136
-21.002281,14.890272
25.232126,13.927768
12.538166,8.66948
7.095152,9.637464
0.5672366,-10.477608
31.01809,19.224115
-5.274936,-14.242423
-22.519653,-5.325713
-5.377306,-30.227316
-13.755965,-28.93175
32.639946,-3.1840324
0.8499675,-24.047623
24.872898,-20.314655
18.24028,11.703382
0.29656512,-11.625375
29.989246,-2.2492726
-3.471577,4.764781
25.692728,8.59758
-17.19676,-9.153371
14.6683855,-18.868816
-0.78529376,-11.073768
21.451853,-18.345293
15.662192,-15.718493
23.34001,19.036667
-44.399273,10.335475
-22.141277,14.47162
11.849437,26.474901
-33.77284,-14.626403
33.458725,-0.2657384
26.486206,9.523573
24.969742,4.565034
25.08924,-4.173103
24.523972,-15.982947
-13.783253,-26.987133
-1.9952742,-19.727535
-1.6518493,5.6058245
22.131742,-11.091216
15.952329,-0.98859733
-19.688639,-16.747513
-18.147543,-23.529297
0.448519,10.282462
-39.46987,-8.737414
-5.6086,-28.855238
-42.62276,6.824532
-19.665781,-12.942161
26.555702,-12.773498
21.721302,-10.963572
-42.347485,6.450189
7.857174,16.875002
26.640604,-2.429297
22.731367,-0.8853579
14.03414,-21.90246
1.7196015,-18.38919
30.926071,-2.9866664
14.367801,6.3753076
-2.4249794,-23.246431
-3.6281557,-29.820034
-17.786459,15.920265
25.004223,19.73468
-42.1488,6.190128
-6.801545,-30.429535
-6.080351,15.324415
-6.9404273,13.447569
-6.499143,13.384931
-15.063632,-2.2111015
12.288508,25.006414
18.501415,2.6318052
-41.7952,5.933773
31.206942,15.015797
-8.829577,13.468813
23.732752,5.4602423
28.712143,-3.3317645
-8.297223,13.383408
5.7708445,3.1936662
-11.12994,-9.113339
24.112505,1.1547316
-42.621998,7.5858803
11.625474,8.317891
16.632988,-1.0491751
12.554481,-22.645027
33.060062,-0.22074722
33.478237,5.5118866
-40.885952,12.479928
-3.8353648,-20.481438
0.44150242,-15.59946
25.780357,-20.357666
-13.125032,14.255667
-20.436516,-12.534199
-43.40284,10.75414
27.157742,13.64881
-11.311639,-28.64393
-1.8340595,-13.036657
-21.960438,-18.237734
-5.867657,-11.28424
-20.619247,15.008302
11.865767,28.607834
29.847555,14.005032
-37.425564,-13.786282
25.9198,19.915691
26.230309,-17.1042
33.938705,6.377481
19.70505,13.351068
34.27394,6.1325727
-20.517782,-7.246001
-40.81175,10.593416
31.895786,16.962093
-9.145668,13.492278
-0.4273689,-22.80476
27.516235,21.559582
-1.2960691,-11.120324
14.143938,26.855787
19.372414,11.38919
28.61571,-18.165876
29.144054,3.609747
-17.10476,-10.572058
18.401812,-11.734781
-1.0368015,-10.715517
15.107462,-0.84479254
-8.371548,-23.71306
-18.66195,-6.880371
-40.559166,10.973694
-40.968193,10.398521
11.5105295,25.99993
-2.2616858,12.095669
18.540754,13.961555
16.798271,-20.984642
8.685055,5.080274
-28.538721,13.084242
24.304451,-2.7417264
-2.2830775,-21.609241
18.902735,16.069443
-14.620377,-11.208978
-4.1287537,-8.771354
0.28878018,-23.972687
-9.539962,13.624714
-5.415204,-26.187405
14.330781,28.476234
27.021938,23.643686
27.435883,13.020699
26.296839,-13.093808
-38.098503,-9.741695
-20.27441,14.8604
-1.3416425,-25.45106
14.266372,-0.76882124
-6.4733205,-30.977413
10.899989,25.332426
0.6138821,-22.890223
25.950138,-18.002909
-2.2271438,-9.640695
27.670813,1.6877497
32.162968,-1.9746112
-36.861786,-13.818775
27.880745,0.7416796
26.024057,19.935078
-39.185257,-10.323495
-20.205225,-14.88569
-40.820724,10.764092
22.250471,19.10022
30.102085,0.72863865
-14.772243,-27.388773
14.474201,9.441033
4.018372,4.3230515
25.332687,8.901877
-6.235376,6.682098
-10.884667,-7.4974456
-20.326962,14.207222
31.56589,0.76171273
-5.1790633,-30.63174
10.428762,26.47918
0.2808809,11.681861
9.45374,28.127115
-36.63495,8.925647
11.037732,28.241785
-32.62856,-12.322112
23.13061,-13.076887
20.955067,11.968986
-36.356667,9.331117
-8.028296,-7.2096148
-2.1521842,-8.886039
-20.828373,-6.4450145
-27.717514,13.329853
-11.624366,-25.075567
-1.5101428,8.480067
25.363882,-18.950655
-9.602372,-6.9585004
-39.2351,-9.184925
22.418434,-3.2721138
7.53074,4.912497
-5.732406,-26.857609
22.118793,8.368506
24.126293,-12.052145
-22.874283,-18.685959
-20.333773,-19.920362
21.996286,-14.04251
21.02783,-2.1013813
-12.562948,-29.755474
-1.9808024,-30.040688
-17.08295,-23.587809
-1.7330108,-27.695265
-19.61133,-7.6634493
-8.341873,-30.622292
26.994715,12.187063
27.524347,13.254089
0.6913541,-16.273605
-2.9579778,25.03168
-37.316032,10.437029
-4.5479355,13.186454
-37.761986,9.952045
-2.1172614,-9.547583
-4.904241,-10.284544
-37.860115,10.647848
-15.404453,-9.5886965
32.16623,19.46242
9.400119,26.20166
23.66692,1.6283906
-7.1225348,-18.651627
19.504093,18.711948
18.744015,16.510906
-9.983747,-7.7975974
1.4536775,-13.151332
28.654408,-3.6930761
-15.524392,-10.252551
24.432005,8.9690275
-18.0598,-22.832993
-6.0947313,-26.670628
22.605103,8.8260565
-2.4533157,-14.683405
23.25659,17.532438
-20.326962,14.207226
-38.016758,10.667877
-21.437624,14.5426
18.581213,1.9416499
-5.7666636,7.492856
-36.029713,11.356863
-39.074753,-9.38742
19.545198,18.333178
-10.479033,-30.473818
-5.195161,12.7715435
-16.677652,-17.890274
-2.9412894,-26.785719
-5.0331445,-8.554968
-37.384647,12.21082
-3.2276201,-26.333931
-5.6906214,-25.769733
